code,pop,name,perc,logperc
1125,198596,"Tuscaloosa County, AL",0.0006326445290564258,-7.365601859028724
1127,66221,"Walker County, AL",0.00021095265442730755,-8.463876836267085
1129,17109,"Washington County, AL",5.4502181552631416e-05,-9.817269828607545
1131,11431,"Wilcox County, AL",3.641442733813371e-05,-10.220545506406415
1133,24108,"Winston County, AL",7.679809415341856e-05,-9.474330733829259
2000,731449,ALASKA,0.0023300932956041086,-6.061846971174342
2013,3161,"Aleutians East Borough,",1.0069635623815998e-05,-11.505986036216575
2016,5547,Aleutians West Census Ar,1.767044251986945e-05,-10.943617228376958
2020,298610,"Anchorage Municipality,",0.0009512476727705458,-6.957736095287513
2050,17746,"Bethel Census Area, AK",5.653139948757947e-05,-9.78071433103691
2060,991,"Bristol Bay Borough, AK",3.1569151860808773e-06,-12.665915214102204
2068,1875,"Denali Borough, AK",5.972972728457765e-06,-12.028265810027682
2070,5034,"Dillingham Census Area,",1.6036237181363407e-05,-11.040659572736931
2090,100272,Fairbanks North Star Bor,0.00031942502476155573,-8.048987975967737
2100,2552,"Haines Borough, AK",8.129614081612916e-06,-11.719997103967513
2105,2129,Hoonah-Angoon Census Are,6.782111434072844e-06,-11.901222083538714
2110,32556,"Juneau City and Borough,",0.00010370992007875787,-9.17391278598526
2122,56900,"Kenai Peninsula Borough,",0.0001812598123995983,-8.615579128317771
2130,13779,Ketchikan Gateway Boroug,4.3894181986890425e-05,-10.03372877543829
2150,14239,"Kodiak Island Borough, A",4.5359551296272065e-05,-10.000889790651199
2164,1654,Lake and Peninsula Borou,5.268958342863543e-06,-12.153677872848556
2170,93925,Matanuska-Susitna Boroug,0.0002992061138775443,-8.114377877990023
2180,9915,"Nome Census Area, AK",3.1585079788084664e-05,-10.362825707478297
2185,9643,"North Slope Borough, AK",3.071860054427639e-05,-10.390642205921809
2188,7810,Northwest Arctic Borough,2.487942240493608e-05,-10.60146950559846
2195,3844,"Petersburg Census Area,",1.2245390489702213e-05,-11.31036097834201
2198,5751,Prince of Wales-Hyder Ce,1.8320301952725658e-05,-10.907500716718438
2220,9046,"Sitka City and Borough,",2.8816806027535437e-05,-10.454551798394405
2230,959,"Skagway Municipality, AK",3.0549764515151983e-06,-12.698738673548755
2240,7144,Southeast Fairbanks Cens,2.275782249178788e-05,-10.690601625875859
2261,9717,Valdez-Cordova Census Ar,3.095433386795952e-05,-10.382997540592754
2270,7809,Wade Hampton Census Area,2.48762368194809e-05,-10.601597554769517
2275,2403,Wrangell City and Boroug,7.654961848791471e-06,-11.780156512695724
2282,668,Yakutat City and Borough,2.127971084058553e-06,-13.060341574895547
2290,5770,Yukon-Koyukuk Census Are,1.838082807637403e-05,-10.904202388930047
4000,6553255,ARIZONA,0.02087595381206906,-3.8691573176929244
4001,73195,"Apache County, AZ",0.00023316892739171525,-8.36374735682668
4003,132088,"Cochise County, AZ",0.00042077761160348227,-7.773406102320525
4005,136011,"Coconino County, AZ",0.0004332746633441435,-7.744138704631864
4007,53144,"Gila County, AZ",0.0001692947534299517,-8.683869259087116
4009,37416,"Graham County, AZ",0.0001191918653909204,-9.03477604902647
4011,8802,"Greenlee County, AZ",2.8039523176472133e-05,-10.481895501061157
4012,20281,"La Paz County, AZ",6.460685861645437e-05,-9.64718998227806
4013,3942169,"Maricopa County, AZ",0.01255811622825153,-4.3773881110175905
4015,203334,"Mohave County, AZ",0.0006477378329430567,-7.342024522267659
4017,107094,"Navajo County, AZ",0.00034115708873677647,-7.98316751597463
4019,992394,"Pima County, AZ",0.003161355892205395,-5.756754263599901
4021,387365,"Pinal County, AZ",0.0012339843098448226,-6.697507068454311
4023,47303,"Santa Cruz County, AZ",0.0001506877487862601,-8.8003007510163
4025,212637,"Yavapai County, AZ",0.0006773733344325727,-7.297287982936789
4027,200022,"Yuma County, AZ",0.0006371871739155088,-7.358447108951576
5000,2949131,ARKANSAS,0.009394708819013001,-4.667608639783489
